Question ,Answer 
"Fill in the blank in the following sentence:
In pregnancy, the membrane that surrounds the amniotic cavity consists of 3 layers: the decidua basalis, the ______, and the amnion.",Chorion
"Fill in the blank in the following sentence: Erysipelas is a dermal infection caused by _______, and it commonly infects the _____ of the face.","Streptococci A and G, papillary dermis"
"Fill in the blanks in the following sentence: In pleural effusion, decreased or absent tactile fremitus on the affected side suggests ____, which results from ____.",Fluid accumulation; sound insulation
"Fill in the blanks in the following sentence: Iron is transported and stored in the body by 3 main protein classes: (1) transferrins, (2) TFR1 transferrin receptors, and (3) _____. Each transferrin molecule can bind to ____ iron ions.","Ferritin, 2"
"Fill in the blanks in the following sentence: In addition to its effect on milk production, _____ affects the functions of the hypothalamus, pituitary gland, and the ovarian functions related to the menstrual cycle. It is produced by _____ cells.","Prolactin, lactotroph"
Fill in the blank in the following sentence: We can attribute ____ in newborns (24 hours or less) to anemia or acidosis.,Pale skin
"Fill in the blank in the following sentence: In type 2 diabetes, insulin deficiency occurs due to _____, which leads to the body's cells' ability to resist insulin being broken down _____, leading to high blood sugar levels.","Insulin resistance, gradually"
Fill in the blank in the following statement: Carpal Tunnel Syndrome is characterized by motor weakness primarily affecting _____.,Thumb opposition
Fill in the blank: The pleural effusion type characterized by the accumulation of bacteria-laden fluid is called ____.,Empyema
"Fill in the blanks in the following sentence: Prognosis in myocarditis depends on factors like ____, with a poor prognosis often linked to ____.",EF levels; dilated cardiomyopathy
Fill in the blank in the following sentence: Prostaglandins are synthesized from ______ acid through the enzyme ______.,"Arachidonic, Cyclooxygenase"
"Fill in the blanks in the following sentence: A diagnostic feature of systolic heart failure is ____, which occurs when the ejection fraction falls below ____.",Decreased EF; 40%
Fill in the blank in the following statement: Guillain-Barré Syndrome (GBS) is associated with elevated ____ in the cerebrospinal fluid without an increase in white blood cell count.,Proteins
"Fill in the blanks in the following sentence: The most commonly used diagnostic tool for confirming DVT is ultrasound, while ____, though more accurate, is reserved for complex cases.",MRI Venography
"Fill in the blanks in the following sentence: Zollinger-Ellison syndrome results from ____-secreting tumors, leading to excessive ____ production.",Gastrin; hydrochloric acid
"Fill in the blanks in the following sentence: A classic ECG finding in myocarditis is ____, often accompanied by ____.",Tachycardia; T-wave inversion
"Fill in the blank in the following sentence: In skin flora, _____ are the most common organisms.",Staphylococcus epidermidis
"Fill in the blanks in the following sentence: Viral encephalitis often involves memory loss and confusion. Diagnostic methods include ____, which can reveal ____.","MRI, temporal lobe inflammation"
"Fill in the blank in the following sentence: In systemic lupus erythematosus, the immune system produces antibodies known as _____, which target nuclear components. The disease can be diagnosed using tests detecting anti-_____ antibodies using immunological methods.","ANA, DNA"
"Fill in the blanks in the following sentence: The etiology of Interstitial Lung Diseases (ILDs) includes infections such as ____, systemic conditions like ____, and environmental exposures.",Coccidioidomycosis; connective tissue diseases
"Fill in the blanks in the following sentence: Insulinomas typically result in ____ symptoms due to hypoglycemia, with episodes often occurring during fasting or exercise.",Neuroglycopenic
Fill in the blank in the following sentence: A raised area of ​​skin containing pus is known as _____.,Pustule
Fill in the blank in the following statement: Peripheral neuropathy due to vitamin B6 toxicity is characterized by _____.,Sensory ataxia and numbness
"Fill in the blanks in the following sentence: Treatment for acute decompensated heart failure includes ____, particularly in cases of ____.",Diuretics; pulmonary edema
"Fill in the blanks in the following sentence: Transient global amnesia (TGA) is characterized by sudden onset of ____, which resolves within ____.","Anterograde amnesia, 24 hours"
"Fill in the blanks in the following sentence: In cases of suspected IPF, diagnostic imaging often reveals ____, with only 10% of patients showing normal chest radiographs.",Ground-glass opacities
"Fill in the blanks in the following sentence: In chest X-rays of pleural effusion, the ____ is often blunted, while larger effusions may cause ____ displacement.",Costophrenic angle; mediastinal
"Fill in the blanks in the following sentence: The gold standard for diagnosing ILD involves ____, which allows determination of the extent of cellular involvement and the type of inflammation.",Bronchoalveolar lavage (BAL)
Fill in the blank in the following sentence: Amniocentesis is a technique used to diagnose genetic abnormalities such as ____.,Cystic fibrosis
Fill in the blanks in the following sentence: Thalassaemia syndromes are a group of genetic disorders resulting from a deficiency in the synthesis of ___ or ___ globin chains.,α - β
"Diabetes mellitus is characterized by a complete or partial deficiency of only one of _____, and the immunological diagnosis of the disease is diagnosed by detecting antibodies such as Glutamic Acid Decarboxylase (GAD) and ____.","Insulin, IAA"
"Fill in the blank in the following sentence: After birth, there is an increase in the secretion of the hormone _____, which is necessary to maintain the newborn's body temperature.",TSH
"Fill in the blanks in the following sentence: Pain management in chronic pancreatitis typically begins with ____, escalating to ____ for severe cases.",Antispasmodics; opioid analgesics
Fill in the blank in the following sentence: The purpose of perineal thrusting is to reduce rapid dilation of the fetal head because rapid dilation is characteristic of _____.,Tissue tearing
"Fill in the blanks in the following sentence: Metabolic causes of coma include ____, while toxic causes commonly involve substances such as ____.",Hepatic encephalopathy; alcohol and barbiturates
Fill in the blank in the following sentence: A common symptom in women with hyperprolactinemia is _____.,Galactorrhea
"Fill in the blanks in the following sentence: The progression of IPF is characterized by ____, leading to irreversible fibrosis and loss of ____.",Chronic inflammation; alveolar function
"Fill in the blanks in the following sentence: Hemorrhagic disease of the newborn is caused by a deficiency of clotting factors related to vitamin _____, and is defined in the laboratory as a decrease in the level of these factors below ____%.","K, 30%"
"Fill in the blanks in the following sentence: Heart failure with preserved ejection fraction (HFpEF) differs from HFrEF in that it ____, whereas HFrEF ____.",Maintains EF > 50%; has an EF < 40%
"Fill in the blanks in the following sentence: The most common infectious cause of myocarditis is ____, whereas a rare cause includes ____.",Coxsackie B virus; Trypanosoma cruzi
Fill in the blank in the following sentence: Medications such as ____ and dopamine antagonists can cause hyperprolactinemia.,Tricyclic antidepressants
"Fill in the blanks in the following sentence: Pleural effusion with a protein level > 3 g/dL and a high LDH concentration is classified as ____, often seen in pneumonia.",Exudate
"Fill in the blanks in the following sentence: Chronic pancreatitis patients often develop ____, which results from a reduction in pancreatic enzyme secretion.",Steatorrhea
"Fill in the blanks in the following sentence: In the differential diagnosis of coma, imaging such as CT scan can exclude ____, while lab tests help identify ____.",Intracranial hemorrhage; metabolic imbalances
"Fill in the blanks in the following sentence: In cases of memory loss caused by metabolic disturbances, ____ is a common factor, often presenting with symptoms of ____.","Hyponatremia, seizures"
"Fill in the blank in the following sentence: The virus that causes chickenpox is ____, and the disease is transmitted by contact with ____ lesions of infected people or with their nasal spray.","VZV, direct"
"Fill in the blank in the following sentence: In false labour, the womb experiences light, uneven, inconsistent, and painless contractions called ______ contractions.",Braxton Hicks
"Fill in the blank in the following sentence: In fetal circulation, ____ exists to divert ____blood entering into the right atrium to the left atrium to be pumped into circulation.","Foramen ovale, oxygenated"
