Question,Answer
"يلعب فايروس الورم الحليمي البشري دورًا في حدوث سرطان:

A. مبيض
B. مستقيم
C. شرج
D. خصية
E. مثانة",C. شرج
"البدانة عامل خطر لحدوث أورام:

A. جلد
B. عظام
C. بطانة رحم
D. رئة
E. درق","C. بطانة رحم"
"من المورثات الكابحة للورم:

A. K-RAS
B. BRCA
C. P-53
D. ATM
E. RB","A. K-RAS"
"الازفاء المتبادل بين الكروموزوم 8 و 14 يسبب:

A. لمفوما مانتيل
B. لمفوما بوركت
C. لمفوما هودجكن
D. نقيوم متعدد
E. ابيضاض لمفاوي حاد","B. لمفوما بوركت"
"تفيد الجراحة الوقائية من السرطان في حالات:

A. الداء الكيسي الليفي في الثدي
B. الكلية متعددة الكيسات
C. المبيض متعدد الكيسات
D. الداء الزلاقي
E. داء البوليبات العائلي","E. داء البوليبات العائلي"
"من العلاجات التلطيفية للحبن الخبيث:

A. المعالجة الكيميائية للورم البطني
B. المعالجة الشعاعية للبطن
C. المدرات
D. البزل المتكرر
E. تحويلة بريتوانية وريدية",D. البزل المتكرر
"تستطب الجراحة التلطيفية عند مرضى الأورام في حالات:

A. نقص الشهية
B. ارتفاع المعتدلات
C. الغزو الورمي لنقي العظم
D. ارتفاع كلس الدم
E. الكسور المرضية","E. الكسور المرضية"
"فيما يتعلق بزمن التضاعف (Doubling Time):

A. الأورام الدموية لها زمن تضاعف أطول من الأورام الصلبة
B. متوسط زمن التضاعف لأغلب الأورام هو 2-3 يوم
C. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم
D. يتطلب الورم 30 زمن تضاعف حتى ينمو من 1 غ إلى 1 كغ
E. ورم بقطر 1 سم يحتوي على مليون خلية","C. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم"
"العلاج الشعاعي الكيميائي المشترك قبل الجراحة يفيد في أورام:

A. الزائدة الدودية
B. الأعور
C. الكولون المعترض
D. السين
E. المستقيم","E. المستقيم"
"تفيد المعالجة الشعاعية التلطيفية في:

A. تسكين الألم الناجم عن النقائل الكبدية
B. معالجة الوذمة اللمفاوية بعد تجريف الإبط
C. إيقاف الإسهال
D. معالجة انضغاط النخاع الشوكي
E. معالجة انصباب الجنب","D. معالجة انضغاط النخاع الشوكي"
"يعتمد إعطاء علاج شعاعي متمم في أورام بطانة الرحم على:

A. حجم الورم
B. وجود مضاد استطباب للعلاج الكيميائي
C. ارتفاع الواسمات الورمية
D. مقدار غزو الطبقة العضلية
E. وجود نزف نسائي قبل الجراحة","D. مقدار غزو الطبقة العضلية"
