Question,Answer
"كل ما هو آت صحيح عن محفظة بومان ما عدا: أ.  تتصل المسافة المحفظية بجوفها مع لمعة الأنبوب للقريب ب. تتداخل الاستطالات القدمية مع بعضها لتشكيل شقوق الرشح ج. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية  د. تعطي الوريقة الحشوية استطالات ترافق تفرعات الاوعية
",ج. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية
كل ما يلي صحيح عن السفلس ماعدا: أ. يتميز الطور الاول بسلبية الاختبارات المصلية ب. %25 من الاجنة تموت بعد الوالدة من ام مصابة ج. يتميز الطور الثاني باندفاعات على الجلد والاغشية المخاطية د. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية , أ. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية
من العلاجات التلطيفية للحبن الخبيث: أ. البزل المتكرر  ب. المعالجة الشعاعية للبطن ج. المدرات د. المعالجة الكيميائية للورم البطني هـ. تحويلة بريتوانية وريدية, أ. البزل المتكرر
أي مما يلي تستبعد إصابته في الجحوظ الورمي: أ. العصب السادس ب. العصب العاشر ج. العصب البصري د. لا يصاب العصب الثالث  ,ب. العصب العاشر
كل ما يلي صحيح عن المساريقا ما عدا: أ. تؤمن مرور الاعصاب والاوعية للاحشاء  ب. طبقة وحيدة من البريتوان ج. يتشكل الرباط المنجلي من المساريقا البطنية د. يتشكل الثرب الكبير من المساريقا الظهرية للمعدة ,ب. طبقة وحيدة من البريتوان 
من مكونات الجريبات المبيضية وتفرز ال androstenadione: أ. الخلايا الحبيبية ب. خلايا القراب الخارجي ج. خلايا القراب الداخلي د. الخلايا الجريبية ,ب. خلايا القراب الداخل
"الدانترولين يملك تأثير: أ. مرخّي للعضلات الملساء ب. معاكسا لعمل الهيبارين ج. مثبط للفوسفو داي إستراز د. مرخّي للعضلات الهيكلية
",د. مرخّي للعضلات الهيكلية
يتحرر الأستيل كولين من الأماكن التالية عدا: أ. العصبونات بعد العقدة في القسم الودي المعصب للغدد العرقية ب. جميع العصبونات بعد العقدة في القسم اللاودي ج. جميع العصبونات قبل العقدة في الجهاز العصبي المستقل د. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية,أ. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية
ما يلي حول التهاب الكبد المزمن المرتقي الفعال صحيح ما عدا: أ. قد توجد ضخامة كبدية وطحالية ب. في الغالب يكون إنذار هذه الحالات سيئا ج. من الأعراض: وهن عام وتعب، مع وجود آلام مفصلية د. النمط المنيع للذات أكثر شيوعاً لدى الذكور ,د. النمط المنيع للذات أكثر شيوعاً لدى الذكور
كل العوامل التالية تزيد امتصاص الحديد عدا: أ. C الفيتامين ب. الكالسيتوني ج. الإريثروبويتين د.انخفاض ph الوسط المعوي ,ب. الكالسيتونين
"التبادل المتبادل بين الكروموسوم 8 و 14 يسبب: أ. لمفوما مانتي ب. لمفوما هودجكن ج. لمفوما بوركت د. نقيوم متعدد
",ج. لمفوما بوركت
في حال حدوث خلل اثناء التشكل الجنيني اي من البنى التالية تشكل ناسور مع الرغامى: أ. الأبهر ب. ألحجاب الحاجز  ج. التامور د. المري  ,د. المري
"تتصف العصيدة الشريانية بما يلي عدا: أ. الأول والثاني ب. تكاثر الخلايا العضلية الملساء ج. هي تثخن موضعي في طبقة ال Media  د. ترسب الكولسترول في ال Macrophages
",ج. هي تثخن موضعي في طبقة ال Media 
يتصف تقلص العضالت الملس بما يلي عدا: أ. يكفي انخفاض ترکيز شوارد الكالسيوم دون المستوى الحرج لحدوث السترخاء العضلي ب. يقوم الكالمودولين بدور مشابه لعمل الترومبين في العضلات الهيكلية ج. يحتوي غشاء العضلة الملساء على انماط متعددة من البروتينات المستقبلة د. يستمر ارتباط جسور الميوزين مع خيوط اللاكتين لفترة اطول من مثيالتها في العضالت الهيكلة,"أ. يكفي انخفاض ترکيز شوارد الكالسيوم دون المستوى الحرج لحدوث السترخاء العضلي
"
